filename,age,gender
cv-other-train/sample-000000.wav,seventies,male
cv-other-train/sample-000001.wav,twenties,male
cv-other-train/sample-000003.wav,fourties,male
cv-other-train/sample-000005.wav,twenties,male
cv-other-train/sample-000007.wav,fifties,female
cv-other-train/sample-000009.wav,fourties,female
cv-other-train/sample-000011.wav,twenties,male
cv-other-train/sample-000012.wav,twenties,male
cv-other-train/sample-000015.wav,thirties,male
cv-other-train/sample-000021.wav,thirties,male
cv-other-train/sample-000022.wav,twenties,female
cv-other-train/sample-000023.wav,thirties,male
cv-other-train/sample-000029.wav,twenties,male
cv-other-train/sample-000030.wav,twenties,male
cv-other-train/sample-000032.wav,fifties,male
cv-other-train/sample-000035.wav,thirties,male
cv-other-train/sample-000036.wav,thirties,male
cv-other-train/sample-000037.wav,fourties,male
cv-other-train/sample-000038.wav,twenties,male
cv-other-train/sample-000039.wav,sixties,male
cv-other-train/sample-000041.wav,fifties,female
cv-other-train/sample-000044.wav,twenties,male
cv-other-train/sample-000045.wav,teens,male
cv-other-train/sample-000046.wav,thirties,female
cv-other-train/sample-000051.wav,twenties,male
cv-other-train/sample-000052.wav,sixties,male
cv-other-train/sample-000059.wav,thirties,male
cv-other-train/sample-000060.wav,thirties,female
cv-other-train/sample-000061.wav,fourties,male
cv-other-train/sample-000069.wav,seventies,female
cv-other-train/sample-000073.wav,thirties,male
cv-other-train/sample-000076.wav,thirties,male
cv-other-train/sample-000078.wav,twenties,male
cv-other-train/sample-000079.wav,thirties,male
cv-other-train/sample-000090.wav,thirties,male
cv-other-train/sample-000093.wav,fourties,male
cv-other-train/sample-000095.wav,fourties,male
cv-other-train/sample-000101.wav,teens,male
cv-other-train/sample-000102.wav,twenties,male
cv-other-train/sample-000109.wav,twenties,female
cv-other-train/sample-000111.wav,thirties,male
cv-other-train/sample-000115.wav,fifties,female
cv-other-train/sample-000116.wav,thirties,male
cv-other-train/sample-000117.wav,twenties,male
cv-other-train/sample-000120.wav,fourties,male
cv-other-train/sample-000122.wav,twenties,female
cv-other-train/sample-000125.wav,fifties,male
cv-other-train/sample-000127.wav,thirties,male
cv-other-train/sample-000128.wav,twenties,female
cv-other-train/sample-000129.wav,fifties,male
cv-other-train/sample-000131.wav,twenties,male
cv-other-train/sample-000139.wav,thirties,male
cv-other-train/sample-000140.wav,fourties,male
cv-other-train/sample-000141.wav,twenties,male
cv-other-train/sample-000142.wav,thirties,male
cv-other-train/sample-000143.wav,fifties,male
cv-other-train/sample-000145.wav,twenties,male
cv-other-train/sample-000148.wav,thirties,male
cv-other-train/sample-000149.wav,fifties,male
cv-other-train/sample-000151.wav,twenties,male
cv-other-train/sample-000152.wav,twenties,male
cv-other-train/sample-000155.wav,twenties,male
cv-other-train/sample-000157.wav,twenties,male
cv-other-train/sample-000158.wav,thirties,male
cv-other-train/sample-000160.wav,fourties,male
cv-other-train/sample-000164.wav,thirties,male
cv-other-train/sample-000170.wav,twenties,male
cv-other-train/sample-000171.wav,twenties,male
cv-other-train/sample-000176.wav,fifties,male
cv-other-train/sample-000177.wav,thirties,female
cv-other-train/sample-000183.wav,twenties,male
